reversal_id,txn_id,timestamp,amount,reason
REV0069,TXN1112,2026-06-15 18:19:49,19785.38,system_error
REV0060,TXN1092,2026-06-21 06:30:09,254291.11,system_error
REV0116,TXN1706,2026-06-18 07:02:54,,system_error
REV0100,TXN9004,2026-06-26 04:10:49,3803.6,customer_dispute
REV0089,TXN0391,2026-06-20 02:24:19,311.73,system_error
REV0075,TXN0541,2026-06-10 18:14:58,9685.88,duplicate_charge
REV0109,TXN1281,2026-06-30 15:47:41,-100,fraud
REV0016,TXN1065,2026-06-13 15:49:43,65409.8,fraud
REV0045,TXN1000,2026-06-15 20:45:55,147353.68,fraud
REV0052,TXN1409,2026-06-16 20:50:43,19801.42,customer_dispute
REV0015,TXN0567,2026-06-05 06:35:31,60540.9,duplicate_charge
REV0022,TXN1186,2026-06-29 06:16:52,6138.93,fraud
REV0057,TXN1248,2026-06-08 07:09:10,13963.88,customer_dispute
REV0031,TXN0979,2026-06-30 23:59:59,27798.12,customer_dispute
REV0111,TXN0918,2026-06-02 07:54:24,-250.5,duplicate_charge
REV0097,TXN9001,2026-06-06 14:09:06,8674.0,customer_dispute
REV0117,,2026-06-26 16:03:21,3827.92,customer_dispute
REV0041,TXN0039,2026-06-30 23:59:59,328310.99,duplicate_charge
REV0118,,2026-06-20 00:15:15,1761.26,customer_dispute
REV0033,TXN1258,2026-06-25 02:04:12,6614.2,customer_dispute
REV0026,TXN1387,2026-06-23 09:41:25,230654.01,duplicate_charge
REV0023,TXN1002,2026-06-12 00:57:16,86889.98,fraud
REV0043,TXN0312,2026-06-25 18:49:26,195477.53,system_error
REV0078,TXN0357,2026-06-15 16:53:50,1154489.91,fraud
REV0012,TXN0894,2026-06-04 20:14:16,4520.09,customer_dispute
REV0049,TXN0556,2026-06-20 14:37:46,4947.55,fraud
REV0008,TXN1197,2026-06-06 12:43:15,454301.95,customer_dispute
REV0105,TXN0729,2026-06-08 22:56:33,440464.67,customer_dispute
REV0077,TXN0384,2026-06-17 23:02:24,86127.62,customer_dispute
